,rmse_mean,rmse_std,accuracy_mean,accuracy_std,adjacent_accuracy_mean,adjacent_accuracy_std
xgboost,0.8908555656168391,0.02150896538627624,0.5949920153888921,0.010743451101540137,0.9091491671452022,0.005446711284383092
lightgbm,0.8906464768619742,0.032053199883499375,0.597413168622406,0.009899325677500858,0.9082571024485464,0.008786965733153388
random_forest,0.950682415180635,0.013831649057462142,0.5672777650393752,0.00788222732230327,0.8980632194520142,0.0041872728664972955
ensemble,0.8681746469736049,0.023284002674631446,0.5926347999180234,0.00785687521389079,0.9187053972724488,0.006417226108395951
