,rmse_mean,rmse_std,accuracy_mean,accuracy_std,adjacent_accuracy_mean,adjacent_accuracy_std
xgboost,0.9210681809367138,0.02401707365729759,0.58314165532047,0.007096460317529003,0.9036061628617171,0.005769153022076657
lightgbm,0.9202289349693281,0.018342559178429668,0.5811666257459575,0.008591927560774692,0.904753126376001,0.004429875516585918
random_forest,0.9381079192899866,0.010632091338111797,0.5671502953393004,0.009809261146437842,0.9003570653155393,0.004014146391007236
ensemble,0.8929581608663908,0.016775360296745933,0.5828866956290595,0.00739155571992183,0.9131629002704825,0.004120272684862687
