,rmse_mean,rmse_std,accuracy_mean,accuracy_std,adjacent_accuracy_mean,adjacent_accuracy_std
xgboost,0.9413576102712508,0.021008606887314006,0.5725655661363207,0.006354067238110698,0.8981270760496163,0.0034754980945883246
lightgbm,0.9341625585048019,0.0235687260146754,0.5728209113616857,0.007281015358384184,0.899656266042778,0.006765238088282269
random_forest,0.9450380868487176,0.013626958136213533,0.561989598699736,0.010833365935986697,0.899656448664125,0.004121369620187462
ensemble,0.9089665041648244,0.018940086298159,0.5749228830634934,0.008724715884914601,0.9088307566814049,0.005311877137393767
