,rmse_mean,rmse_std,accuracy_mean,accuracy_std,adjacent_accuracy_mean,adjacent_accuracy_std
xgboost,0.8879173978882944,0.021595454003858768,0.5973488859083281,0.009575260294796328,0.9086392883449026,0.005883615586021549
lightgbm,0.8944118252213589,0.01897847242450339,0.5992598356813703,0.011720934057538721,0.9085117577710455,0.004419961740287525
random_forest,0.9325279787908631,0.012938748573423442,0.5699539388380819,0.005898043270990386,0.9039244718692105,0.003643663286401432
ensemble,0.8666533189141317,0.021042272580697977,0.5958831872700747,0.011462901609087165,0.9175587787095976,0.0053296214649373
