,rmse_mean,rmse_std,accuracy_mean,accuracy_std,adjacent_accuracy_mean,adjacent_accuracy_std
xgboost,0.8879173978882944,0.021595454003858768,0.5973488859083281,0.009575260294796328,0.9086392883449026,0.005883615586021549
lightgbm,0.911053297356124,0.019576266831155504,0.5849891543211253,0.010837727424678196,0.9055816185527055,0.005600520930224607
random_forest,0.9325279787908631,0.012938748573423442,0.5699539388380819,0.005898043270990386,0.9039244718692105,0.003643663286401432
ensemble,0.8696502467169045,0.014387092444815976,0.5899586058280559,0.009822284240767164,0.9181321691560662,0.003583498976388926
