,rmse_mean,rmse_std,accuracy_mean,accuracy_std,adjacent_accuracy_mean,adjacent_accuracy_std
xgboost,0.877059728888416,0.019739978344761117,0.6048668386012828,0.009634916546882642,0.9128441854377739,0.0039939473792380146
lightgbm,0.8988924397641173,0.024579980095395176,0.5958842221243732,0.006767299740549443,0.909149512096635,0.006497542811720071
random_forest,0.9265434010453847,0.003958690053116901,0.5775350176432512,0.00819106996198729,0.9048803931634684,0.0021014463018870504
ensemble,0.8619242705820402,0.018250825431750946,0.5989420745379173,0.008113033841357484,0.9193428675203877,0.004615972421571599
