,rmse_mean,rmse_std,accuracy_mean,accuracy_std,adjacent_accuracy_mean,adjacent_accuracy_std
xgboost,0.8795949843450959,0.016349571520584742,0.601490109024944,0.009670380146590397,0.9126532040915298,0.004638670279187532
lightgbm,0.8819196997187058,0.02387494849979343,0.6011078419635447,0.010385869607683758,0.9119521613236394,0.004617798796567649
random_forest,0.9265434010453847,0.003958690053116901,0.5775350176432512,0.00819106996198729,0.9048803931634684,0.0021014463018870504
ensemble,0.8586715948012514,0.018004786716401572,0.5967756375006849,0.01002607278018176,0.9208079371295577,0.003705581303573394
