fold,rmse,accuracy,adjacent_accuracy
1,0.9193600654456913,0.5853503184713376,0.9012738853503185
2,0.8859815822739789,0.5794839120739089,0.913666772857598
3,0.9289853059279986,0.5718381650207073,0.9111181905065308
4,0.924344217916294,0.5782096208983752,0.9037910162472125
5,0.8861613492601598,0.559732398853138,0.9143039184453647
