fold,rmse,accuracy,adjacent_accuracy
1,0.9635060710989765,0.5732484076433121,0.8920382165605095
2,0.9383683723856661,0.5584581076776043,0.9015610066900287
3,0.9565255166659861,0.5635552723797388,0.8999681427206117
4,0.9417572182741113,0.5715195922268238,0.900286715514495
5,0.9250332558188482,0.543166613571201,0.9044281618349793
