fold,rmse,accuracy,adjacent_accuracy
1,0.9399146186999433,0.5834394904458599,0.8955414012738854
2,0.9188133128068053,0.5731124561962408,0.9037910162472125
3,0.9702487340499105,0.5731124561962408,0.8967824147817777
4,0.9595183032767185,0.5689710098757567,0.8942338324307104
5,0.9182930825228762,0.5641924179675055,0.900286715514495
