fold,rmse,accuracy,adjacent_accuracy
1,0.9422834441780109,0.575796178343949,0.8949044585987261
2,0.9034287453525468,0.5817139216310927,0.9082510353615801
3,0.9538573789256951,0.5750238929595413,0.8977381331634279
4,0.9618395882044991,0.5718381650207073,0.890729531697993
5,0.9094036358632577,0.559732398853138,0.9066581713921631
