,rmse_mean,rmse_std,accuracy_mean,accuracy_std,adjacent_accuracy_mean,adjacent_accuracy_std
xgboost,0.9148719847528362,0.02052371682780096,0.5851800747935871,0.010749456471901826,0.9053900487598996,0.004591543790858236
lightgbm,0.911053297356124,0.019576266831155504,0.5849891543211253,0.010837727424678196,0.9055816185527055,0.005600520930224607
random_forest,0.9325279787908631,0.012938748573423442,0.5699539388380819,0.005898043270990386,0.9039244718692105,0.003643663286401432
ensemble,0.8873560277230255,0.015882405537084747,0.5835872716979524,0.011245652564996204,0.9145008045484889,0.0039083955657787765
